timestamp,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,problems,llm_used,difficulty
2024-04-30T00:43:48,15.634477138519289,1.954947263754704e-06,1.250407830357321e-07,0.4531,0.0091999999999999,3.0,1.2146014148195588e-06,3.2308299567964344e-08,8.041312694549561e-06,9.288222408937084e-06,twoSum_easy.py,Codex,easy
2024-04-30T00:44:04,15.512898206710815,1.931460680600934e-06,1.2450675914094458e-07,0.3962,0.033,3.0,1.0571834537055755e-06,1.151032974322637e-07,8.004347681999207e-06,9.176634433137046e-06,twoSum_easy.py,Copilot,easy
2024-04-30T00:44:39,30.86775517463684,1.1738424205630645e-05,3.802811101493954e-07,0.2199999999999999,0.0101999999999999,3.0,3.968044022917747e-05,8.334959465265274e-08,1.600707252820333e-05,5.577086235203345e-05,sortedArray2HeightBalancedBST_easy.py,Codex,easy
2024-04-30T00:45:12,30.84972310066223,1.0462528240915655e-05,3.391449643413839e-07,2.4290000000000003,0.0131999999999999,3.0,3.3655188943611254e-05,8.932258500655491e-08,1.5964394211769105e-05,4.970890574038692e-05,sortedArray2HeightBalancedBST_easy.py,Copilot,easy
2024-04-30T00:45:33,17.413657188415527,2.3069827380782417e-06,1.3248123085901605e-07,0.4370999999999999,0.0118999999999999,3.0,1.3879124685724577e-06,4.7672840999232395e-08,9.525205890337627e-06,1.0960791199909315e-05,roman2integer_easy.py,Codex,easy
2024-04-30T00:45:55,20.11947512626648,2.7326137649583892e-06,1.3581933662826489e-07,0.2789,0.0101999999999999,3.0,1.1002306066817708e-06,4.8602646152178464e-08,1.1834189295768736e-05,1.2983022548602689e-05,roman2integer_easy.py,Copilot,easy
2024-04-30T00:46:08,9.731757879257202,6.984977059209771e-07,7.177508057509252e-08,0.1183,0.0091999999999999,3.0,1.2526294494999778e-07,1.730964663293626e-08,3.176085750261943e-06,3.318658341844877e-06,sqrt(x)_easy.py,Codex,easy
2024-04-30T00:46:20,9.30463194847107,6.303279630841564e-07,6.77434600933067e-08,0.1873,0.0093,3.0,1.7504746071497608e-07,1.635116942723592e-08,2.803375919659933e-06,2.994774549802145e-06,sqrt(x)_easy.py,Copilot,easy
2024-04-30T00:46:29,8.282482147216797,4.439105524085205e-07,5.3596318654026916e-08,0.2908,0.0091999999999999,3.0,1.8558485600683424e-07,1.3549218124813502e-08,1.909945805867513e-06,2.109079879999161e-06,happyNumber_easy.py,Codex,easy
2024-04-30T00:46:40,10.657596111297607,8.870054173161094e-07,8.32275316171756e-08,0.1941999999999999,0.0093,3.0,2.550244040091832e-07,1.9888207813103993e-08,3.939371705055237e-06,4.214284316877524e-06,happyNumber_easy.py,Copilot,easy
2024-04-30T00:47:20,36.22467803955078,1.5237033194113113e-05,4.2062577278056235e-07,4.78,0.017,3.0,4.401155999574397e-05,1.6114662851227656e-07,2.8220526576042177e-05,7.239323320029844e-05,ransomNote_easy.py,Codex,easy
2024-04-30T00:47:39,15.010029077529907,1.7506523654717818e-06,1.1663217682186357e-07,0.2825,0.0122,3.0,7.1238112880124e-07,4.0813940948910184e-08,7.564394275347392e-06,8.317589345097541e-06,ransomNote_easy.py,Copilot,easy
2024-04-30T00:48:09,28.750979900360107,9.223757318829365e-06,3.208154070155305e-07,0.1182,0.0159,3.0,2.952992753264639e-05,8.970753768417572e-08,1.4203700224558517e-05,4.382333529488908e-05,mergeTwoSortedLists_easy.py,Codex,easy
2024-04-30T00:48:32,19.134888887405396,2.5658904417965276e-06,1.3409487020775957e-07,0.3103,0.0139999999999999,3.0,1.1368993840614954e-06,6.285938541094461e-08,1.0991138418515524e-05,1.2190897187987964e-05,mergeTwoSortedLists_easy.py,Copilot,easy
2024-04-30T00:48:48,14.027672052383425,1.666803091981156e-06,1.1882250210561145e-07,0.5402,0.0128,3.0,1.2024824976788629e-06,3.9272547403971355e-08,6.677454908688863e-06,7.919209953771697e-06,palindromeNumber_easy.py,Codex,easy
2024-04-30T00:49:02,13.05822205543518,3.593154218763021e-06,2.751641229188207e-07,5.7439,0.0128999999999999,3.0,1.1191247044311628e-05,3.59428793589274e-08,5.8443782726923625e-06,1.707156819636292e-05,palindromeNumber_easy.py,Copilot,easy
2024-04-30T00:49:22,16.154412031173706,2.0786833650386728e-06,1.286758912071432e-07,0.4796000000000001,0.0139,3.0,1.3543517707188926e-06,5.0883784174919124e-08,8.470874031384786e-06,9.876109586278598e-06,lengthOfLastWord_easy.py,Codex,easy
2024-04-30T00:49:35,11.163755893707275,9.749174353026373e-07,8.732880265253504e-08,0.1976,0.0148,3.0,2.8420309670766196e-07,3.3550667073991574e-08,4.314212600390116e-06,4.63196636417177e-06,lengthOfLastWord_easy.py,Copilot,easy
2024-04-30T00:49:51,15.696287155151367,2.6407234697596982e-06,1.682387333805268e-07,1.6283999999999998,0.012,3.0,4.399426061789194e-06,4.2309076786041264e-08,8.104704022407531e-06,1.2546439160982766e-05,isToeplitzMatrix_easy.py,Codex,easy
